phase,metric,is_direct_outcome_metric,is_construct_overlap_metric,n_successful,mean_successful,n_semi_successful,mean_semi_successful,n_unsuccessful_dialogue,mean_unsuccessful_dialogue,min_value,max_value,overall_mean,overall_median
automatic_speech_recognition,asr_entity_error_rate,False,False,409,0.2625496332518337,19,0.10686315789473685,24,0.9791666666666666,0.0,1.0,0.29405575221238933,0.0952
automatic_speech_recognition,asr_failure_count,False,False,409,0.0,19,0.0,24,0.0,0.0,0.0,0.0,0.0
automatic_speech_recognition,asr_failure_rate,False,False,409,0.0,19,0.0,24,0.0,0.0,0.0,0.0,0.0
automatic_speech_recognition,asr_hallucinated_token_rate,False,False,409,0.011136185819070906,19,0.004910526315789474,24,0.026283333333333336,0.0,0.0753,0.011678761061946904,0.0
automatic_speech_recognition,asr_negation_preservation_rate,False,False,374,0.9981283422459893,19,0.9696052631578947,23,0.7608695652173914,0.0,1.0,0.9837079326923077,1.0
automatic_speech_recognition,asr_numeric_preservation_rate,False,False,409,0.7206239608801956,19,0.8245684210526316,0,,0.0,1.0,0.7252383177570093,1.0
automatic_speech_recognition,asr_real_time_factor,False,False,409,0.3012872860635697,19,0.950757894736842,24,0.4546958333333333,0.0003,8.5027,0.33673362831858406,0.1543
automatic_speech_recognition,asr_recognition_latency,False,False,409,1.552418826405868,19,6.108721052631578,24,2.1952458333333333,0.0025,70.294,1.7780772123893804,0.9415
automatic_speech_recognition,asr_repair_trigger_rate,False,False,409,0.0,19,0.0,24,0.0,0.0,0.0,0.0,0.0
automatic_speech_recognition,asr_route_sequence_edit_distance,False,False,409,0.10364498777506112,19,0.07173157894736842,0,,0.0,0.6667,0.10222827102803739,0.0
automatic_speech_recognition,asr_semantic_asr_error_rate,False,False,409,0.20962860635696823,19,0.08026315789473684,24,0.0,0.0,0.875,0.19305995575221238,0.0
automatic_speech_recognition,asr_sentence_error_rate,False,False,409,0.38380757946210264,19,0.5213368421052632,24,0.9777791666666666,0.0,1.0,0.4211269911504425,0.3636
automatic_speech_recognition,asr_station_f1,False,False,409,0.97740097799511,19,0.9775,24,0.22348333333333334,0.0,1.0,0.9373741150442478,0.9796
automatic_speech_recognition,asr_station_precision,False,False,409,0.9767014669926651,19,0.9976052631578947,24,0.5416666666666666,0.0,1.0,0.9544809734513275,1.0
automatic_speech_recognition,asr_station_recall,False,False,409,0.9802105134474327,19,0.964921052631579,24,0.1456,0.0,1.0,0.9352522123893805,1.0
automatic_speech_recognition,asr_success_rate,False,False,409,1.0,19,1.0,24,1.0,1.0,1.0,1.0,1.0
automatic_speech_recognition,asr_transcript_correction_count,False,False,409,3.6723716381418092,19,2.736842105263158,24,0.125,0.0,14.0,3.4446902654867255,1.0
automatic_speech_recognition,asr_uncorrected_misinterpretation_count,False,False,409,11.985330073349633,19,13.631578947368421,24,28.375,0.0,66.0,12.924778761061948,5.0
automatic_speech_recognition,asr_wer,False,False,409,0.07903129584352078,19,0.07981052631578947,24,0.6966833333333334,0.0,0.8193,0.11185973451327434,0.0225
automatic_speech_recognition,asr_word_error_rate,False,False,409,0.07903129584352078,19,0.07981052631578947,24,0.6966833333333334,0.0,0.8193,0.11185973451327434,0.0225
other,audio_capture_success_rate,False,False,409,1.0,19,1.0,24,1.0,1.0,1.0,1.0,1.0
