source_run,source_path,run_state,agent_a_type,agent_b_model,agent_b_llm_size,tts_engines,asr_engines,planned_condition_count,observed_condition_count,completed_condition_count,interrupted_condition_count,not_started_condition_count,known_outcome_count,successful_condition_count,task_success_rate_completed,finalized_artifacts_available,interpretation
20260707_163901_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-gemma2-2b/tinyllama/20260707_163901_b-n0001,preflight_only,tinyllama,gemma-2-2b-it,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164001_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-gemma2-2b/tinyllama/20260707_164001_b-n0001,preflight_only,tinyllama,gemma-2-2b-it,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164101_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-gemma2-2b/tinyllama/20260707_164101_b-n0001,preflight_only,tinyllama,gemma-2-2b-it,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164232_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-gemma2-2b/tinyllama/20260707_164232_b-n0001,preflight_only,tinyllama,gemma-2-2b-it,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164403_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-gemma2-2b/tinyllama/20260707_164403_b-n0001,preflight_only,tinyllama,gemma-2-2b-it,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164503_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-gemma2-2b/tinyllama/20260707_164503_b-n0001,preflight_only,tinyllama,gemma-2-2b-it,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164733_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-gemma2-2b/tinyllama/20260707_164733_b-n0001,preflight_only,tinyllama,gemma-2-2b-it,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164902_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-gemma2-2b/tinyllama/20260707_164902_b-n0001,preflight_only,tinyllama,gemma-2-2b-it,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_163901_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-phi3-mini/tinyllama/20260707_163901_b-n0001,preflight_only,tinyllama,Phi-3-mini-4k-instruct,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164001_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-phi3-mini/tinyllama/20260707_164001_b-n0001,preflight_only,tinyllama,Phi-3-mini-4k-instruct,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164101_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-phi3-mini/tinyllama/20260707_164101_b-n0001,preflight_only,tinyllama,Phi-3-mini-4k-instruct,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164232_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-phi3-mini/tinyllama/20260707_164232_b-n0001,preflight_only,tinyllama,Phi-3-mini-4k-instruct,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164403_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-phi3-mini/tinyllama/20260707_164403_b-n0001,preflight_only,tinyllama,Phi-3-mini-4k-instruct,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164704_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-phi3-mini/tinyllama/20260707_164704_b-n0001,preflight_only,tinyllama,Phi-3-mini-4k-instruct,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164832_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-phi3-mini/tinyllama/20260707_164832_b-n0001,preflight_only,tinyllama,Phi-3-mini-4k-instruct,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164932_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-phi3-mini/tinyllama/20260707_164932_b-n0001,preflight_only,tinyllama,Phi-3-mini-4k-instruct,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_163100_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-qwen2.5-1.5b/tinyllama/20260707_163100_b-n0001,preflight_only,tinyllama,Qwen2.5-1.5B-Instruct,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
