source_run,condition_id,condition_state,run_type,scenario_key,persona_key,message_count,agent_a_turn_count,agent_b_turn_count,memory_snapshot_count,candidate_count,unique_route_count,state_task_variable_agreement,active_constraint_agreement,current_route_agreement,agent_a_constraint_count,agent_b_constraint_count,agent_a_clarification_count,agent_b_clarification_count,final_agent_a_focus,final_agent_b_focus,focus_disagreement_count
20260715_021236_b-n0001,C-MPCC-FC-CLEAN-PIP-VOS-MP3M4-DEFAU-MED-I0-d794cc44ac-T,completed,text_only,morning_peak_cross_city,focused_commuter,9,5,4,9,4,4,1.0,1.0,1.0,3,3,0,0,transfers,confirmation,7
20260715_023555_b-n0001,C-MPCC-FC-CLEAN-PIP-VOS-MP3M4-DEFAU-MED-I0-d794cc44ac-A,completed,audio_variant,morning_peak_cross_city,focused_commuter,13,7,6,13,4,3,1.0,1.0,0.0,3,3,2,0,route,confirmation,10
20260715_030016_b-n0001,C-MT-FC-CLEAN-PIP-VOS-MP3M4-DEFAU-MED-I0-1b2f1d53bf-T,completed,text_only,midday_transfer,focused_commuter,13,7,6,13,3,2,1.0,1.0,1.0,3,3,1,0,route,clarification,11
20260715_033407_b-n0001,C-MT-FC-CLEAN-PIP-VOS-MP3M4-DEFAU-MED-I0-1b2f1d53bf-A,completed,audio_variant,midday_transfer,focused_commuter,20,10,10,20,3,3,1.0,1.0,1.0,3,3,4,0,route,time,15
20260715_040811_b-n0001,C-AC-FC-CLEAN-PIP-VOS-MP3M4-DEFAU-MED-I0-471fc737cd-T,not_started,text_only,airport_connection,focused_commuter,,,,,,,,,,,,,,,,
20260715_040857_b-n0001,C-AC-FC-CLEAN-PIP-VOS-MP3M4-DEFAU-MED-I0-471fc737cd-A,not_started,audio_variant,airport_connection,focused_commuter,,,,,,,,,,,,,,,,
20260715_040941_b-n0001,C-MPCC-FC-CLEAN-PIP-VOS-MP3M4-DEFAU-MED-I0-225ad01a7e-T,completed,text_only,morning_peak_cross_city,focused_commuter,9,5,4,9,4,4,1.0,1.0,1.0,3,3,0,0,transfers,confirmation,7
20260715_043301_b-n0001,C-MPCC-FC-CLEAN-PIP-VOS-MP3M4-DEFAU-MED-I0-225ad01a7e-A,completed,audio_variant,morning_peak_cross_city,focused_commuter,13,7,6,13,4,3,1.0,0.0,0.0,3,2,2,0,route,clarification,8
20260715_050151_b-n0001,C-MPCC-FC-CLEAN-PIP-VOS-MP3M4-DEFAU-MED-I0-d794cc44ac-T,completed,text_only,morning_peak_cross_city,focused_commuter,9,5,4,9,4,4,1.0,1.0,1.0,3,3,0,0,transfers,confirmation,7
20260715_052537_b-n0001,C-MPCC-FC-CLEAN-PIP-VOS-MP3M4-DEFAU-MED-I0-d794cc44ac-A,completed,audio_variant,morning_peak_cross_city,focused_commuter,13,7,6,13,4,3,1.0,1.0,0.0,3,3,2,0,route,confirmation,10
20260715_055043_b-n0001,C-MPCC-FC-CLEAN-PIP-VOS-MP3M4-DEFAU-MED-I0-d794cc44ac-T,completed,text_only,morning_peak_cross_city,focused_commuter,9,5,4,9,4,4,1.0,1.0,1.0,3,3,0,0,transfers,confirmation,7
20260715_061431_b-n0001,C-MPCC-FC-CLEAN-PIP-VOS-MP3M4-DEFAU-MED-I0-d794cc44ac-A,completed,audio_variant,morning_peak_cross_city,focused_commuter,20,10,10,20,4,3,1.0,0.0,0.0,3,2,3,0,route,route,10
