source_run,condition_id,model_comparison_condition_key,condition_state,agent_a_type,agent_b_model,agent_b_llm_size,tts_engine,asr_engine,run_type,scenario_key,persona_key,speech_pattern_key,agent_a_audio_persona,agent_b_audio_persona,phase_order,phase,observation_count,total_processing_sec,mean_processing_sec,maximum_processing_sec,pipeline_success_rate,error_count,misinterpreted_token_count,correction_count,valid_route_parse_rate,candidate_count,evidence_source
20260705_123702_b-n0026,C-MPCC-FC-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-acf3050f22-T,MC-6c085e5c669d,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,morning_peak_cross_city,focused_commuter,clean,high_clarity_caller,clear_operator,1,natural_language_generation,9,1023.9976849999999,113.77752055555555,207.331833,,,,,,,runtime event telemetry; no retrospective substitution
20260710_195601_b-n0001,C-MPCC-FC-CLEAN-PIP-VOS-Q05-DEFAU-SML-I0-7f24258767-A,MC-f13f6ad0289a,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,morning_peak_cross_city,focused_commuter,clean,high_clarity_caller,high_clarity_operator,2,text_to_speech,20,45.77037,2.2885185,7.097422,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260710_195601_b-n0001,C-MPCC-FC-CLEAN-PIP-VOS-Q05-DEFAU-SML-I0-7f24258767-A,MC-f13f6ad0289a,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,morning_peak_cross_city,focused_commuter,clean,high_clarity_caller,high_clarity_operator,3,automatic_speech_recognition,20,33.109828,1.6554914,2.867585,1.0,0,31,9,,,runtime event telemetry; no retrospective substitution
20260710_195601_b-n0001,C-MPCC-FC-CLEAN-PIP-VOS-Q05-DEFAU-SML-I0-7f24258767-A,MC-f13f6ad0289a,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,morning_peak_cross_city,focused_commuter,clean,high_clarity_caller,high_clarity_operator,4,natural_language_understanding,10,0.01889,0.001889,0.00832,,,,,0.5714285714285714,,runtime event telemetry; no retrospective substitution
20260710_195601_b-n0001,C-MPCC-FC-CLEAN-PIP-VOS-Q05-DEFAU-SML-I0-7f24258767-A,MC-f13f6ad0289a,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,morning_peak_cross_city,focused_commuter,clean,high_clarity_caller,high_clarity_operator,5,dialogue_management,10,0.025526,0.0025526,0.008416,,,,,,4,runtime event telemetry; no retrospective substitution
20260710_195601_b-n0001,C-MPCC-FC-CLEAN-PIP-VOS-Q05-DEFAU-SML-I0-7f24258767-A,MC-f13f6ad0289a,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,morning_peak_cross_city,focused_commuter,clean,high_clarity_caller,high_clarity_operator,6,speech_pipeline,20,78.89555299999999,3.94477765,9.967401,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260710_195601_b-n0001_02,C-CEE-DST-HESIT-PIP-FWH-Q05-DEFAU-SML-I0-db6b076adf-A,MC-7349b7d78466,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,faster_whisper,audio_variant,crowded_event_exit,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,1,natural_language_generation,9,522.017262,58.001917999999996,116.046739,,,,,,,runtime event telemetry; no retrospective substitution
20260710_195601_b-n0001_02,C-CEE-DST-HESIT-PIP-FWH-Q05-DEFAU-SML-I0-db6b076adf-A,MC-7349b7d78466,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,faster_whisper,audio_variant,crowded_event_exit,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,2,text_to_speech,9,28.689701,3.1877445555555557,7.790579,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260710_195601_b-n0001_02,C-CEE-DST-HESIT-PIP-FWH-Q05-DEFAU-SML-I0-db6b076adf-A,MC-7349b7d78466,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,faster_whisper,audio_variant,crowded_event_exit,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,3,automatic_speech_recognition,9,65.628961,7.292106777777779,12.098954,1.0,0,12,0,,,runtime event telemetry; no retrospective substitution
20260710_195601_b-n0001_02,C-CEE-DST-HESIT-PIP-FWH-Q05-DEFAU-SML-I0-db6b076adf-A,MC-7349b7d78466,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,faster_whisper,audio_variant,crowded_event_exit,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,4,natural_language_understanding,4,0.018371000000000002,0.0045927500000000005,0.006569,,,,,1.0,,runtime event telemetry; no retrospective substitution
20260710_195601_b-n0001_02,C-CEE-DST-HESIT-PIP-FWH-Q05-DEFAU-SML-I0-db6b076adf-A,MC-7349b7d78466,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,faster_whisper,audio_variant,crowded_event_exit,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,5,dialogue_management,4,0.033426,0.0083565,0.010527,,,,,,4,runtime event telemetry; no retrospective substitution
20260710_195601_b-n0001_02,C-CEE-DST-HESIT-PIP-FWH-Q05-DEFAU-SML-I0-db6b076adf-A,MC-7349b7d78466,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,faster_whisper,audio_variant,crowded_event_exit,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,6,speech_pipeline,9,131.824132,14.647125777777777,24.402718,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260710_200803_b-n0001,C-MT-RAN-SC-PIP-VOS-Q05-DEFAU-SML-I0-c60b89701d-A,MC-841dbfa4d80d,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,midday_transfer,risk_averse_novice,severe_channel,barely_understandable_caller,barely_understandable_operator,1,natural_language_generation,19,0.127711,0.006721631578947368,0.026338,,,,,,,runtime event telemetry; no retrospective substitution
