agent_a_type,agent_b_model_slot,agent_b_model,agent_b_llm_size,matched_case_count,successful_matched_case_count,matched_success_rate,mean_turns_successful,mean_turns_to_success,mean_repair_turns_successful,successful_runs_with_repair_rate,mean_repair_success_rate,mean_clarification_count,mean_correction_turn_rate,mean_route_revision_count,mean_candidate_route_count,mean_duration_regret_min,mean_constraint_satisfaction,mean_task_focus_score,mean_asr_word_error_rate,mean_asr_station_f1,mean_goal_progress_auc,interpretation
tinyllama,small1,TinyLlama-1.1B-Chat-v1.0,small,62,43,0.6935483870967742,13.162790697674419,1.2093023255813953,1.1627906976744187,0.5813953488372093,0.8782953488372093,1.1627906976744187,0.1816441860465116,0.06976744186046512,3.7209302325581395,0.627906976744186,1.0,0.07079767441860464,0.0978232558139535,0.9747372093023255,0.9470372093023256,"deduplicated matched Agent B comparison; metrics are means over successful matched cases only, while matched_case_count is the all-model denominator"
tinyllama,small2,Qwen2.5-0.5B-Instruct,small,62,41,0.6612903225806451,13.0,1.146341463414634,1.0731707317073171,0.5609756097560976,0.9024390243902439,1.0731707317073171,0.1731439024390244,0.07317073170731707,3.707317073170732,0.6585365853658537,1.0,0.07031707317073171,0.08694390243902439,0.9798146341463415,0.9434951219512195,"deduplicated matched Agent B comparison; metrics are means over successful matched cases only, while matched_case_count is the all-model denominator"
tinyllama,medium1,Qwen2.5-1.5B-Instruct,medium,62,43,0.6935483870967742,13.13953488372093,1.186046511627907,1.186046511627907,0.5581395348837209,0.8875976744186046,1.186046511627907,0.16844186046511628,0.046511627906976744,3.6511627906976742,0.6511627906976745,1.0,0.06920697674418605,0.09772325581395348,0.9759465116279069,0.9440883720930232,"deduplicated matched Agent B comparison; metrics are means over successful matched cases only, while matched_case_count is the all-model denominator"
tinyllama,medium2,Phi-3-mini-4k-instruct,medium,62,41,0.6612903225806451,12.682926829268293,1.170731707317073,1.0,0.5365853658536586,0.8943097560975609,1.0,0.1769439024390244,0.024390243902439025,3.682926829268293,0.6585365853658537,1.0,0.06984634146341463,0.09294634146341463,0.9791926829268294,0.9495439024390244,"deduplicated matched Agent B comparison; metrics are means over successful matched cases only, while matched_case_count is the all-model denominator"
tinyllama,large1,Qwen2.5-7B-Instruct,large,62,43,0.6935483870967742,13.023255813953488,1.1627906976744187,1.1395348837209303,0.5581395348837209,0.8906976744186046,1.1395348837209303,0.19330232558139535,0.046511627906976744,3.7209302325581395,0.627906976744186,1.0,0.06984883720930232,0.09725116279069768,0.9773744186046511,0.9419558139534884,"deduplicated matched Agent B comparison; metrics are means over successful matched cases only, while matched_case_count is the all-model denominator"
userlm,small1,TinyLlama-1.1B-Chat-v1.0,small,77,33,0.42857142857142855,11.272727272727273,1.121212121212121,0.7878787878787878,0.5454545454545454,0.9494969696969697,0.7878787878787878,0.1769939393939394,0.06060606060606061,3.696969696969697,1.2424242424242424,1.0,0.0742121212121212,0.06328181818181819,0.9751787878787879,0.9467151515151515,"deduplicated matched Agent B comparison; metrics are means over successful matched cases only, while matched_case_count is the all-model denominator"
userlm,small2,Qwen2.5-0.5B-Instruct,small,77,32,0.4155844155844156,11.125,1.09375,0.78125,0.5625,0.9609375,0.78125,0.17625625,0.03125,3.65625,1.0,1.0,0.073521875,0.05710625,0.978678125,0.954815625,"deduplicated matched Agent B comparison; metrics are means over successful matched cases only, while matched_case_count is the all-model denominator"
userlm,medium1,Qwen2.5-1.5B-Instruct,medium,77,33,0.42857142857142855,11.727272727272727,1.0909090909090908,0.7878787878787878,0.5454545454545454,0.9595969696969696,0.7878787878787878,0.18965151515151515,0.030303030303030304,3.787878787878788,1.6666666666666667,1.0,0.07400909090909091,0.06112424242424243,0.9746272727272728,0.9563121212121212,"deduplicated matched Agent B comparison; metrics are means over successful matched cases only, while matched_case_count is the all-model denominator"
userlm,medium2,Phi-3-mini-4k-instruct,medium,77,32,0.4155844155844156,11.09375,1.09375,0.65625,0.53125,0.96875,0.65625,0.180375,0.125,3.84375,1.375,1.0,0.074359375,0.0577,0.978478125,0.944659375,"deduplicated matched Agent B comparison; metrics are means over successful matched cases only, while matched_case_count is the all-model denominator"
userlm,large1,Qwen2.5-7B-Instruct,large,77,33,0.42857142857142855,11.151515151515152,1.0909090909090908,0.696969696969697,0.5151515151515151,0.9696969696969697,0.696969696969697,0.18633333333333332,0.030303030303030304,3.757575757575758,1.6666666666666667,1.0,0.0733969696969697,0.06362424242424243,0.9777454545454545,0.9515151515151514,"deduplicated matched Agent B comparison; metrics are means over successful matched cases only, while matched_case_count is the all-model denominator"
